36,36,0
China,1,3,1
India,2,7,2
United States,3,4,11
Brazil,4,12,33
Russian Federation,5,5,8
Nigeria,6,6,20
Mexico,7,10,-1
Egypt,8,18,9
Turkey,9,17,32
France,10,-1,15
Kenya,11,19,23
Venezuela,12,35,13
Australia,13,25,29
Zimbabwe,14,14,-1
Yugoslavia,15,24,-1
Greece,16,-1,16
Hungary,17,-1,-1
Sweden,18,-1,-1
Dominican Republic,19,28,-1
Jordan,20,26,34
Palestine,21,21,22
Oman,22,-1,-1
Qatar,23,-1,-1
Liechtenstein,24,-1,-1
Wallis and Futuna,25,-1,-1
Argentina,26,-1,-1
Japan,27,27,-1
Jamaica,28,-1,-1
Cuba,29,-1,-1
Austria,30,-1,30
Azerbaijan,31,-1,31
Botswana,32,-1,-1
United Kingdom,33,-1,-1
Canada,34,-1,-1
Kazakstan,35,-1,-1
United States Minor Outlying Islands,36,-1,-1
